epoch,train_loss,val_loss
0,0.3901812455483845,1.269073750291552
1,0.30708330656800953,1.0433262927191598
2,0.237988785973617,0.8291570203644889
3,0.1755338736942836,0.6258766842739922
4,0.12265641401921,0.4467704040663583
5,0.08018357546201774,0.302099522203207
6,0.04880287604672568,0.2041050541613783
7,0.031463565570967536,0.1508311392473323
8,0.02198285609483719,0.1313676412350365
9,0.017872123712939874,0.12851187400519848
10,0.015991020814648697,0.1287614530218499
11,0.014958751454417194,0.12607695029250213
12,0.01454311775575791,0.12171929249806064
13,0.014114007420305694,0.11798871375088181
14,0.01380209285499794,0.11239483446947166
15,0.013414130013968264,0.10543133491384131
16,0.013062303952340568,0.10098739593688931
17,0.01265095270771001,0.09692737060998168
18,0.012413293988044773,0.09116163823221411
19,0.012033731044669236,0.08669354606951986
20,0.01206143745886428,0.08169305031853062
21,0.011338950035029225,0.0769381331545966
22,0.01131902655054416,0.07341363028224025
23,0.010760904722181814,0.07018258555659226
24,0.0105824806793992,0.06580305352274861
25,0.01032320300250181,0.06226067078698959
26,0.010180698474869132,0.05886595529903259
27,0.009825501790536302,0.05572088049458606
28,0.009959975024685264,0.05351791590718286
29,0.009631465987435408,0.05131933106375592
