epoch,train_loss,val_loss
0,0.4352464420454843,0.728952522788729
1,0.35557687495435986,0.6412097598825183
2,0.291430013520377,0.5645884296723774
3,0.23841351696423121,0.4932251636471067
4,0.19128315363611495,0.42206665128469467
5,0.14916628120200975,0.3522121459245682
6,0.10938682832888194,0.293870388929333
7,0.07376599258610181,0.24130227629627501
8,0.04480669727282865,0.20023285118596895
9,0.024328908749989102,0.17657998257449695
10,0.014080479408481292,0.16584886291197368
11,0.011121390853077173,0.15626269073358603
12,0.010494339446138059,0.15631745596017158
13,0.010802193045882242,0.14832529159528868
14,0.010191366508869188,0.1473817698923605
15,0.009952146826045854,0.140063052863947
16,0.009733290278485842,0.13588307784604176
17,0.009605023045358914,0.1314708147464054
18,0.00996309332549572,0.1254235063014286
19,0.00904149325963642,0.11973438425255674
20,0.008829125169930714,0.1142575948366097
21,0.00852213437402887,0.10665259124445063
22,0.008229916765620666,0.10310312839491027
23,0.007977726170793176,0.09425106857504163
24,0.007710695632600358,0.08752999241862978
25,0.007434537734038064,0.08123480661639146
26,0.00724265757682068,0.07383015638749514
27,0.006800476195556777,0.0682555045267301
28,0.006613825730580304,0.06112027188230838
29,0.006551722197660378,0.05531232657709292
