epoch,train_loss,val_loss
0,0.5374640354088375,1.2697579051767076
1,0.45922721922397614,1.1368584036827087
2,0.3971928507089615,1.0264051130839758
3,0.3456839493342808,0.9268132320472172
4,0.3005561722176416,0.8304533362388611
5,0.25725397893360685,0.733240178653172
6,0.21448386354105814,0.6345036732298988
7,0.17151248774358205,0.5369341181857246
8,0.129709713693176,0.44227972626686096
9,0.09201394127947944,0.354850064430918
10,0.059449524219547,0.2759764508477279
11,0.03536940924823284,0.20996072994811193
12,0.02047977702958243,0.15954096083130156
13,0.013537891009556395,0.12648839796228067
14,0.01126284125660147,0.10918607735740286
15,0.011035439292235034,0.10178893046187502
16,0.010683556453191809,0.10082347225397825
17,0.01075462534624551,0.09948883245566062
18,0.010302173805290036,0.09866616302835089
19,0.010411310475319624,0.09612849687359162
20,0.009881447102608425,0.09461378399282694
21,0.00964893982745707,0.09172668095145907
22,0.009766664355993271,0.08957531742219414
23,0.009417381370440125,0.08823205583861896
24,0.009187034397785152,0.08652083948254585
25,0.009128822678966182,0.08407357601182801
26,0.008892524122659649,0.082332001067698
27,0.009420245054310985,0.08063605733747993
28,0.00874946456003402,0.07842955937875169
29,0.008420102431305818,0.07694183915321316
